model_name,display_name,reference_model,is_reference,sum_singular_values,paired_cosine_before,paired_cosine_after,rms_alignment_error,rotation_determinant_sign,rotation_log_abs_determinant,orthogonality_error,max_cosine_geometry_change
ce_only_p4,CE-only,arcbase_p4,False,1367.3436699381507,0.2646077751779075,0.976674049955822,0.21599050925528243,-1.0,1.8740564655672642e-13,9.068679199216448e-14,1.1102230246251565e-15
arc_only_p4,ArcFace-only,arcbase_p4,False,1363.394447345957,0.7239048920044715,0.9738531766756835,0.22867804146579757,-1.0,-2.708944180085382e-14,8.864360132575915e-14,1.2385925618474403e-15
arcbase_p4,CE+ArcFace (60:40),arcbase_p4,True,512.0,1.0,1.0,8.120488392987117e-17,1.0,0.0,0.0,7.771561172376096e-16
ce20arc80_p4,CE+ArcFace (20:80),arcbase_p4,False,1379.4799638782602,0.7774497517520045,0.9853428313416144,0.17121430231371232,-1.0,8.570921750106208e-14,8.77898630233761e-14,1.0824674490095276e-15
