objective,clean,jpg70,blur12,down50,crop80,mean_drop,worst_accuracy,mean_flip_rate,mean_retention
CE-only,0.9861428571428571,0.9697142857142858,0.9775714285714285,0.9827142857142858,0.9834285714285714,0.007785714285714229,0.9697142857142858,0.015107142857142857,0.9885919165580184
ArcFace-only,0.9898571428571429,0.9754285714285714,0.9875714285714285,0.9887142857142858,0.9857142857142858,0.005500000000000005,0.9754285714285714,0.010964285714285715,0.9920262664165104
CE+ArcFace 60:40,0.9897142857142858,0.9744285714285714,0.9834285714285714,0.9871428571428571,0.9862857142857143,0.0068928571428572005,0.9744285714285714,0.011928571428571429,0.990545612009238
CE+ArcFace 20:80,0.9901428571428571,0.9795714285714285,0.9852857142857143,0.9871428571428571,0.9874285714285714,0.005285714285714255,0.9795714285714285,0.011214285714285715,0.9918482181503391
